Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_run Max,evaluation/env_infos/final/reward_run Mean,evaluation/env_infos/final/reward_run Min,evaluation/env_infos/final/reward_run Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_run Max,evaluation/env_infos/initial/reward_run Mean,evaluation/env_infos/initial/reward_run Min,evaluation/env_infos/initial/reward_run Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Min,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_run Max,evaluation/env_infos/reward_run Mean,evaluation/env_infos/reward_run Min,evaluation/env_infos/reward_run Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_run Max,exploration/env_infos/final/reward_run Mean,exploration/env_infos/final/reward_run Min,exploration/env_infos/final/reward_run Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_run Max,exploration/env_infos/initial/reward_run Mean,exploration/env_infos/initial/reward_run Min,exploration/env_infos/initial/reward_run Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Min,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_run Max,exploration/env_infos/reward_run Mean,exploration/env_infos/reward_run Min,exploration/env_infos/reward_run Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Offline Weights Max,trainer/Offline Weights Mean,trainer/Offline Weights Min,trainer/Offline Weights Std,trainer/Online Weights Max,trainer/Online Weights Mean,trainer/Online Weights Min,trainer/Online Weights Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/RL Samples Weights Max,trainer/RL Samples Weights Mean,trainer/RL Samples Weights Min,trainer/RL Samples Weights Std,trainer/Weight Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.9946192,-0.11937894,-0.9906062,0.873843,4551.416012957728,5,4648.309114646069,4551.416012957728,4453.883419819681,77.70235132509916,7.891997630009561,4.55141601295773,-2.216444413265614,1.6773156885110065,-0.4682920932769776,-0.48605666160583494,-0.5269812107086181,0.02095435435530781,5.732051108335554,4.59965599415284,4.0995644452766555,0.5946460432695279,-0.21567287445068362,-0.22425024032592775,-0.24686079025268556,0.011488151651216414,0.8169404733082708,0.607134690894868,0.40549827783019227,0.13459405699330151,-0.2011037826538086,-0.4667117894411087,-0.5733904361724854,0.05921978281967679,8.328511079832595,5.018127802398839,-1.8111848517269173,1.682421640095888,5,5000,1000,1000.0,1000,0.0,0.9995995,-0.080212146,-0.9992286,0.81347847,3560.6173658969806,1,3560.6173658969806,3560.6173658969806,3560.6173658969806,0.0,6.997614176192462,3.5606173658969817,-1.5915397043710284,1.469208905557149,-0.3383187770843506,-0.3383187770843506,-0.3383187770843506,0.0,5.232112843223717,5.232112843223717,5.232112843223717,0.0,-0.20129034519195557,-0.20129034519195557,-0.20129034519195557,0.0,0.5401474411444054,0.5401474411444054,0.5401474411444054,0.0,-0.1374976396560669,-0.4009087045311928,-0.5825041770935059,0.08344665358210006,7.465234930434406,3.9615260704281745,-1.1146057482247882,1.478593433283047,1,1000,1000,1000.0,1000,0.0,1000,0.018791601061820984,177.55837421666365,10.242850645096041,3.7923355750972405,0.030699794995598495,163.44134010444395,0.0322113239672035,209.9361877575284,0.0001451720017939806,1.0,-0.0,14.377638,5.4010067,-7.883778,4.5417604,1.0109235,1.0001055,0.98763037,0.0041383505,1.0098568,1.0003822,0.9898045,0.0034530633,234.90013,-196.9123,-228.50284,-399.91656,21.116745,-188.24939,-227.09102,-396.3683,22.506605,-188.05016,-227.00606,-397.65973,22.319153,308.1634,301.08847,1.008637,1.000363,0.98772633,0.0037254235,-0.00013599366,5000,0.992244,-0.099895716,-0.99020207,0.8393039,-0.025240147,-0.45749012,-1.1664464,0.14658946,0.9750757,0.63917637,0.3114718,0.08404655
1,0.99474686,-0.12615125,-0.98822325,0.7888822,4304.33226555384,5,4467.362860791513,4304.33226555384,4197.024535438089,93.23055907535245,7.2377748797785895,4.304332265553837,-2.224804961433933,1.4903951014432728,-0.25629229545593263,-0.39380854606628424,-0.4747174739837647,0.07632819371905061,7.079196986180705,5.142437417506471,2.4583273866153377,1.852452455995865,-0.14995845556259155,-0.21263197422027588,-0.26642856597900394,0.045157749958202514,0.8194225062407567,0.6086407044627218,0.4061059346184684,0.15961891273417342,-0.14995845556259155,-0.38294956408262254,-0.5599150180816651,0.061923058808496655,7.687929088915553,4.68728182963646,-1.8406030294805031,1.4991683707462888,10,10000,1000,1000.0,1000,0.0,0.99919903,-0.085695505,-0.9997957,0.73626256,3379.6238013162233,1,3379.6238013162233,3379.6238013162233,3379.6238013162233,0.0,6.069769744955882,3.3796238013162214,-1.5933202611591861,1.311542270860672,-0.36926839351654056,-0.36926839351654056,-0.36926839351654056,0.0,2.7201757790152215,2.7201757790152215,2.7201757790152215,0.0,-0.22437350749969484,-0.22437350749969484,-0.22437350749969484,0.0,0.5295052309821341,0.5295052309821341,0.5295052309821341,0.0,-0.05467787981033326,-0.32965575786828993,-0.5648185253143311,0.08789855149408037,6.512710292546444,3.7092795591845116,-1.2610867368366763,1.3235647210106047,2,2000,1000,1000.0,1000,0.0,2000,0.018204706022515893,49.549082784331404,9.582141616963781,3.7897997529944405,0.022019190015271306,36.0987769162748,0.0377570140408352,262.24614963983186,0.0003835880197584629,0.44376218319674,-1.4252396821975708,13.412796,4.2457867,-7.715927,3.2999625,10.261344,0.6962155,0.0,1.0318967,7.8005967,2.8439634,0.104958296,1.4880697,217.45872,-186.13437,-213.3547,-272.98962,11.548497,-186.27835,-214.49873,-273.7577,11.831434,-187.00714,-214.13725,-274.27994,11.567226,107.81855,88.47154,9.054805,2.7190628,0.0,1.8219557,-0.59188795,6000,0.99628025,-0.09134326,-0.98851365,0.77255374,-0.3226405,-0.7664364,-1.8548439,0.25924027,0.72423416,0.4786707,0.15647738,0.104573086
2,0.9938701,-0.10155544,-0.99138844,0.81271267,4572.799504369105,5,4646.422102088431,4572.799504369105,4504.577241867602,52.121594630244566,7.617293667124182,4.5727995043691045,-2.2386658322136213,1.5448742192853455,-0.31830155849456787,-0.38598573684692383,-0.4425576686859131,0.04722948415243169,4.111207889919228,3.53821099162019,2.8885175276406017,0.41590475835015794,-0.2694918155670166,-0.27860254764556885,-0.2909808397293091,0.007796297252039442,0.6784125805309055,0.6263153055507563,0.5863552206008249,0.029561991866680702,-0.11539850234985352,-0.4024891780853272,-0.5772359848022461,0.06115864786900798,8.022121853462068,4.9752886824544325,-1.8079329144279768,1.556552928337592,15,15000,1000,1000.0,1000,0.0,0.9986668,-0.096181884,-0.99951637,0.7450081,3532.02590252758,1,3532.02590252758,3532.02590252758,3532.02590252758,0.0,6.221302676948403,3.5320259025275775,-1.7837520218057326,1.3017016090713682,-0.3073365926742554,-0.3073365926742554,-0.3073365926742554,0.0,2.6947814012549998,2.6947814012549998,2.6947814012549998,0.0,-0.21847357749938967,-0.21847357749938967,-0.21847357749938967,0.0,0.538322111140687,0.538322111140687,0.538322111140687,0.0,-0.05595412850379944,-0.3385727953493596,-0.5709680557250977,0.0906422914680673,6.577171040328835,3.8705986978769373,-1.508392605797737,1.3148482346935317,3,3000,1000,1000.0,1000,0.0,3000,0.018830546061508358,47.75728531565983,9.675933114020154,3.7966745069716126,0.02679210901260376,34.206472040503286,0.03234342101495713,312.6379789757775,0.00023957807570695877,0.4149167222269288,-1.2338025569915771,18.583073,4.597438,-5.939073,3.4598327,14.459133,2.3623657,0.0,3.5870917,17.477243,4.122117,0.0,3.1902108,204.5081,-174.93617,-201.07639,-318.3647,13.646755,-176.03598,-201.73311,-317.1527,13.758056,-175.46149,-201.64656,-318.7729,13.552497,97.8185,83.976845,16.166338,4.2375097,0.0,3.2731478,-0.16740921,7000,0.99325603,-0.093166016,-0.9915529,0.77729374,-0.3161426,-0.78962106,-1.8661565,0.24791233,0.7289555,0.4665822,0.15471718,0.098360896
3,0.9941808,-0.12220232,-0.9918162,0.80410194,4584.04369776558,5,4733.430430501859,4584.04369776558,4501.2590542532125,78.8348490898443,7.694083460993784,4.584043697765582,-2.1186473286209453,1.5638935057856143,-0.3293765544891358,-0.39635663032531737,-0.4785458564758301,0.052770717434621466,6.385875032526087,5.2559922278245494,4.039910551008461,1.0246656165687216,-0.23701386451721193,-0.28183186054229736,-0.3073363542556763,0.025158352961630104,0.6690570531245611,0.5633673624008944,0.4928106193140591,0.06583556090350351,-0.1273808479309082,-0.3969080374145508,-0.5739452838897705,0.056174236951109256,8.159036835856455,4.980951735180133,-1.673515073066746,1.5712914625388483,20,20000,1000,1000.0,1000,0.0,0.9991017,-0.0884577,-0.9986163,0.74707156,3428.1344365625255,1,3428.1344365625255,3428.1344365625255,3428.1344365625255,0.0,6.3487040274118725,3.4281344365625177,-1.1562434408871483,1.3182449519754011,-0.3235343933105469,-0.3235343933105469,-0.3235343933105469,0.0,3.559094990563949,3.559094990563949,3.559094990563949,0.0,-0.2041247606277466,-0.2041247606277466,-0.2041247606277466,0.0,0.04945516615996917,0.04945516615996917,0.04945516615996917,0.0,-0.07426006197929383,-0.33956442574858664,-0.5537058830261231,0.0892396308717035,6.811616777656013,3.7676988623111045,-0.7358315680233787,1.3370397869842472,4,4000,1000,1000.0,1000,0.0,4000,0.018384680966846645,48.40113126230426,9.585254076984711,3.786754891043529,0.028795646969228983,34.94114446523599,0.04053294600453228,363.74046548153274,0.00026455509942024946,0.39763018210052076,-1.1171361207962036,17.2648,4.7886615,-2.8779488,3.5242648,16.539452,3.7421243,0.0,4.540014,15.20389,4.871787,0.0,3.6107857,192.14569,-161.82611,-189.1165,-232.40053,10.28404,-163.31847,-189.66129,-238.14658,10.564038,-163.27568,-189.53987,-246.10979,10.408465,76.24522,69.64736,14.9909935,5.0422726,0.0,3.836403,0.11628187,8000,0.99476653,-0.116313435,-0.99070305,0.77146554,-0.29668376,-0.7835385,-1.9290425,0.2519775,0.74327904,0.4698342,0.14528725,0.10046177
4,0.99384934,-0.115203395,-0.9918462,0.8228631,4655.211674539736,5,4745.096600678433,4655.211674539736,4541.687370168316,79.1874819599425,7.782058717325276,4.655211674539735,-2.223749346198037,1.61289555867922,-0.4269560337066651,-0.44074266433715825,-0.46479473114013675,0.01405182416523227,6.7298724795671205,4.825676201257352,3.20293812231057,1.4756706254487835,-0.1937790393829346,-0.27474559307098395,-0.30885272026062016,0.044545949014591364,0.6958417548389098,0.5442790485622908,0.39647006224276055,0.10785916084703435,-0.1450877070426941,-0.4142252906489373,-0.5740543365478515,0.05098267642687217,8.263243104532307,5.069436965188673,-1.7807971424474267,1.6190052929174925,25,25000,1000,1000.0,1000,0.0,0.99829096,-0.09739699,-0.9991524,0.7464423,3427.0612168218254,1,3427.0612168218254,3427.0612168218254,3427.0612168218254,0.0,6.782796820151861,3.427061216821819,-1.4433856363415638,1.29193164452127,-0.396199893951416,-0.396199893951416,-0.396199893951416,0.0,2.37750579994497,2.37750579994497,2.37750579994497,0.0,-0.19559919834136963,-0.19559919834136963,-0.19559919834136963,0.0,0.7193570756283422,0.7193570756283422,0.7193570756283422,0.0,-0.0653930127620697,-0.339997352218628,-0.5796272277832032,0.08988199534708592,7.118830295314638,3.767058569040447,-1.1280716533780017,1.3009022794893723,5,5000,1000,1000.0,1000,0.0,5000,0.018186029978096485,49.909756842418574,9.608294161967933,3.7880170450080186,0.03301568794995546,36.410779057536274,0.05119585001375526,416.46315432863776,0.0002690099645406008,0.3890973002241261,-1.341264247894287,15.496658,4.5790577,-3.8580484,3.3760037,9.294059,2.189303,0.0,3.1994495,9.996256,3.9457302,0.0,2.5655653,182.00162,-150.64337,-178.77292,-257.4042,10.998597,-149.90181,-179.41365,-251.98549,10.775288,-148.6045,-179.62837,-246.11307,10.900494,102.583046,91.86073,10.492719,3.525133,0.0,2.513997,-0.21819706,9000,0.9948035,-0.07405371,-0.99108964,0.7700723,-0.2548249,-0.7864091,-1.8453561,0.25888827,0.7750522,0.46941498,0.15796906,0.10513244
5,0.99361193,-0.116297126,-0.9894384,0.8285082,4773.914433142139,5,4919.295453945387,4773.914433142139,4652.4728599086575,120.28271059184218,7.886603405568508,4.773914433142138,-2.0773288763726963,1.6413199876552114,-0.3729667901992798,-0.44157217502594,-0.4956552982330322,0.04736558665246008,6.591437330838517,4.635998887389746,3.2191788784894015,1.388014062485526,-0.22960424423217773,-0.2530279922485351,-0.27691307067871096,0.01772597237851745,0.6586487524309862,0.5517567605341893,0.4436607161636208,0.08157340876904853,-0.11728618144989014,-0.41997055714845655,-0.5728816986083984,0.051964503207012486,8.35558371791592,5.193884990290594,-1.6245859183038487,1.6465778361440817,30,30000,1000,1000.0,1000,0.0,0.9993204,-0.10406252,-0.999283,0.7526798,3565.964409551221,1,3565.964409551221,3565.964409551221,3565.964409551221,0.0,6.358774121371175,3.565964409551217,-1.8853050464821703,1.3584289107640382,-0.4837941646575928,-0.4837941646575928,-0.4837941646575928,0.0,2.5516906300538267,2.5516906300538267,2.5516906300538267,0.0,-0.1825434923171997,-0.1825434923171997,-0.1825434923171997,0.0,0.30105235023823534,0.30105235023823534,0.30105235023823534,0.0,-0.09346965551376343,-0.3464135458111763,-0.5672924041748048,0.08746512700636552,6.82629092511263,3.9123779553623934,-1.4223488563729174,1.3662727111581345,6,6000,1000,1000.0,1000,0.0,6000,0.018688471987843513,49.51927567215171,9.63707749301102,3.833746529999189,0.015751063940115273,35.972867737174965,0.04086946998722851,468.790169830434,0.00027490605134516954,0.3761767040090431,-0.9800897240638733,13.681065,4.997552,-6.816921,3.4590924,6.1342716,1.1857928,0.0,1.4337993,8.687413,3.510698,0.07219267,1.6194875,169.4963,-141.81284,-166.05086,-283.7019,13.5829935,-139.88388,-166.74277,-279.03976,13.829235,-141.48349,-166.737,-284.6117,13.8721285,68.45111,70.53564,8.84164,3.1188335,0.0,1.7544734,-0.45223063,10000,0.9914479,-0.12637809,-0.9903882,0.78261,-0.30399743,-0.7719383,-1.832486,0.23007537,0.73786277,0.47320804,0.16001527,0.09362118
6,0.9936242,-0.11581217,-0.9898662,0.82986367,4744.033735848569,5,4844.977448409046,4744.033735848569,4651.578717731689,72.04579729696881,7.833745264305565,4.744033735848569,-2.106392475180056,1.6446551891188546,-0.33599181175231935,-0.3943776035308838,-0.4584215164184571,0.03892123969468952,4.7565842791198065,3.969108045038979,3.0661883481224095,0.6648999720603331,-0.24116368293762208,-0.2585937786102295,-0.28470940589904786,0.015328555048771978,0.7640011440181704,0.6644425596550165,0.5875669348786197,0.06791574019020578,-0.19313110113143922,-0.4212517285203934,-0.5692251205444336,0.04756342897545326,8.315118552360303,5.165285464368963,-1.6667684994262715,1.652846152819539,35,35000,1000,1000.0,1000,0.0,0.9995033,-0.08298299,-0.9991034,0.74991345,3531.34987118514,1,3531.34987118514,3531.34987118514,3531.34987118514,0.0,6.448373545193294,3.5313498711851397,-2.0595477348844486,1.3399609301412774,-0.4194997310638428,-0.4194997310638428,-0.4194997310638428,0.0,2.692694824376076,2.692694824376076,2.692694824376076,0.0,-0.20943140983581543,-0.20943140983581543,-0.20943140983581543,0.0,0.5131544713786834,0.5131544713786834,0.5131544713786834,0.0,-0.06946942806243897,-0.34155381060242657,-0.5494519233703613,0.09113068518668752,6.86622760960546,3.872903681787567,-1.6615403658430057,1.3539362923249048,7,7000,1000,1000.0,1000,0.0,7000,0.018747942987829447,47.127056014956906,10.166225466993637,3.9783336729742587,0.01843860698863864,32.879830671008676,0.0653379859868437,518.5224276881199,0.0001416680170223117,0.3624970281003769,-1.526822805404663,13.558392,4.495354,-3.2588172,3.3523932,20.934835,10.046083,0.0,3.3193004,20.074118,10.836751,4.40776,2.397527,158.20349,-126.40105,-155.05222,-277.4212,14.178868,-126.877174,-155.85664,-268.64014,14.062451,-125.28069,-155.7692,-277.37292,14.1472435,88.89767,85.310295,21.198578,10.840124,1.6526967,2.7436683,1.0515953,11000,0.99515593,-0.10817196,-0.9891625,0.7772117,-0.26183662,-0.7728362,-1.8320574,0.24494785,0.76963675,0.47421703,0.16008388,0.0990564
7,0.9939046,-0.12869133,-0.9879078,0.8285066,4610.731369864254,5,4695.602330269724,4610.731369864254,4483.058154758523,80.99069918702902,7.787530584585829,4.610731369864256,-2.0186589467146536,1.6400986686327783,-0.30208108425140384,-0.40557821750640877,-0.4514081954956055,0.05517516727977069,6.350697743614546,3.502657096472717,2.3682062089574174,1.4409060950900412,-0.23340625762939454,-0.2901702308654785,-0.31764714717864995,0.029872515907306045,0.7245708702489023,0.6509957293465832,0.5613926903819596,0.059633042772491936,-0.14549747705459595,-0.42179078100442896,-0.5688454627990723,0.04796331327076373,8.255036421072646,5.032522150868685,-1.5683538663008352,1.642928508900596,40,40000,1000,1000.0,1000,0.0,0.99974924,-0.08093652,-0.9996542,0.75697124,3653.7738931227877,1,3653.7738931227877,3653.7738931227877,3653.7738931227877,0.0,6.901471506018919,3.6537738931227897,-0.9724819804648278,1.3780444458267442,-0.39785656929016117,-0.39785656929016117,-0.39785656929016117,0.0,4.817527567134903,4.817527567134903,4.817527567134903,0.0,-0.19362354278564453,-0.19362354278564453,-0.19362354278564453,0.0,-0.06891828731064059,-0.06891828731064059,-0.06891828731064059,0.0,-0.11049573421478272,-0.3477337074637413,-0.5676758766174317,0.08574705414054229,7.288702426810545,4.00150760058653,-0.6370265628317712,1.3887670229250106,8,8000,1000,1000.0,1000,0.0,8000,0.018094695056788623,47.402355381986126,9.478882665978745,3.7483932620380074,0.016403447021730244,34.101144850836135,0.03916543407831341,568.6040503644617,0.00027102697640657425,0.3546988763704524,-1.184377908706665,13.495665,4.857314,-9.278183,3.382746,16.911901,2.4431152,0.0,4.062056,17.551153,4.3824844,0.0,3.6705976,143.4231,-114.98253,-140.89204,-188.07861,9.869656,-114.701614,-141.10945,-193.2638,10.014882,-114.28096,-141.26204,-187.11568,9.716381,69.20897,63.121307,15.716821,4.333169,0.0,3.9462774,-0.025121756,12000,0.99237794,-0.10830965,-0.9876955,0.7850163,-0.34949943,-0.7710349,-1.7054285,0.2279461,0.70504093,0.47356734,0.18169452,0.094443865
8,0.9944214,-0.069121666,-0.99057555,0.836138,4845.817628150838,5,4945.350402354184,4845.817628150838,4698.349826910243,85.62834137373241,7.800757878160459,4.845817628150842,-2.0553351281067345,1.6412822115283157,-0.3979147672653198,-0.4318752241134643,-0.4669985771179199,0.02865786477372207,7.198649222697213,5.5002602323111205,3.7200055857556436,1.440379819740652,-0.19854987859725953,-0.2705328297615051,-0.2994434356689453,0.03762852134200351,0.675883513256435,0.526417552481595,0.37209927538107423,0.11381484512421032,-0.15966663360595704,-0.42234273494720476,-0.5734933853149414,0.048793728222974654,8.281065361833555,5.268160363098046,-1.5993250725647423,1.6510345699467806,45,45000,1000,1000.0,1000,0.0,0.9995815,-0.079382434,-0.9990981,0.7541807,3564.3309456546076,1,3564.3309456546076,3564.3309456546076,3564.3309456546076,0.0,6.490938724264583,3.564330945654605,-1.328954918432605,1.3612813193131614,-0.2662195682525635,-0.2662195682525635,-0.2662195682525635,0.0,4.889688543838133,4.889688543838133,4.889688543838133,0.0,-0.1871003270149231,-0.1871003270149231,-0.1871003270149231,0.0,0.36375092326718717,0.36375092326718717,0.36375092326718717,0.0,-0.05669574141502381,-0.3450540547728539,-0.5542590618133545,0.08762938649441121,6.96685577748724,3.909385000427459,-0.9600108218673583,1.371087193427248,9,9000,1000,1000.0,1000,0.0,9000,0.018215455929748714,49.55332493141759,9.527541387011297,3.7793225470231846,0.03524876094888896,36.15648513950873,0.0362409190274775,620.9502252675593,0.0002707219682633877,0.3429791904199634,-1.3737698793411255,17.500383,4.7162056,-3.5867414,3.2040255,4.5800257,0.47558865,0.0,0.7590261,7.8288174,2.7389162,0.0,1.4442134,133.52977,-107.50752,-130.83228,-199.29605,10.383102,-106.9827,-131.03897,-197.35243,10.578332,-106.55492,-131.18246,-199.85924,10.432035,62.397247,54.507374,6.6345215,2.4719806,0.0,1.578056,-0.50112855,13000,0.99500996,-0.14691816,-0.99041873,0.77657044,-0.35329914,-0.78070354,-1.641436,0.23876828,0.70236707,0.4700272,0.1937017,0.097405076
9,0.9941476,-0.11183654,-0.9900691,0.8410903,4846.806845154891,5,4922.656498693343,4846.806845154891,4755.430346402195,63.23136764646175,7.927988831857772,4.84680684515489,-2.214222122848027,1.6763208621752395,-0.3751249313354492,-0.4456433963775635,-0.49415221214294436,0.05366818345089795,5.183532608850783,4.317315805240241,3.6728713273976155,0.5907566876769488,-0.2299529790878296,-0.26220844745635985,-0.29180169105529785,0.024649044584618748,0.5797284790142122,0.5377318172340249,0.4667833462369442,0.04168153830590324,-0.11225436925888062,-0.4319642159104347,-0.5730367183685303,0.046350562808421765,8.400379531244369,5.278771061065324,-1.7632319228053028,1.679652476987231,50,50000,1000,1000.0,1000,0.0,0.9996643,-0.08787929,-0.99895406,0.75924677,3578.357335876178,1,3578.357335876178,3578.357335876178,3578.357335876178,0.0,6.364206288541354,3.578357335876179,-1.8134608332604223,1.3811459707837768,-0.36816129684448246,-0.36816129684448246,-0.36816129684448246,0.0,2.033252626322337,2.033252626322337,2.033252626322337,0.0,-0.25756630897521976,-0.25756630897521976,-0.25756630897521976,0.0,0.863944955893316,0.863944955893316,0.863944955893316,0.0,-0.09901300668716431,-0.3505070441246033,-0.570933485031128,0.08947605166141301,6.831954453671969,3.928864380000782,-1.4618237082451635,1.3890343852386224,10,10000,1000,1000.0,1000,0.0,10000,0.018221245030872524,47.421067184302956,9.526039674063213,3.7807203760603443,0.016931746969930828,34.043172215344384,0.03575241193175316,671.0350053908769,0.00022951490245759487,0.33663640354005026,-0.847427487373352,16.460056,5.2216525,-5.4347706,3.3433096,14.912844,2.2887936,0.0,3.7598593,15.221027,4.495097,0.21762931,2.9514296,122.21812,-95.41818,-119.02765,-226.35052,12.660472,-97.43384,-119.90961,-234.12871,12.980066,-95.70385,-119.938156,-231.15187,12.785771,70.29074,63.693733,14.567997,4.50924,0.0,3.53241,-0.3347813,14000,0.9926832,-0.12409934,-0.98918104,0.7934349,-0.3220013,-0.7737662,-1.8885795,0.24144001,0.72469723,0.4735261,0.15128656,0.099066995
