Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_run Max,evaluation/env_infos/final/reward_run Mean,evaluation/env_infos/final/reward_run Min,evaluation/env_infos/final/reward_run Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_run Max,evaluation/env_infos/initial/reward_run Mean,evaluation/env_infos/initial/reward_run Min,evaluation/env_infos/initial/reward_run Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Min,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_run Max,evaluation/env_infos/reward_run Mean,evaluation/env_infos/reward_run Min,evaluation/env_infos/reward_run Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_run Max,exploration/env_infos/final/reward_run Mean,exploration/env_infos/final/reward_run Min,exploration/env_infos/final/reward_run Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_run Max,exploration/env_infos/initial/reward_run Mean,exploration/env_infos/initial/reward_run Min,exploration/env_infos/initial/reward_run Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Min,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_run Max,exploration/env_infos/reward_run Mean,exploration/env_infos/reward_run Min,exploration/env_infos/reward_run Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Offline Weights Max,trainer/Offline Weights Mean,trainer/Offline Weights Min,trainer/Offline Weights Std,trainer/Online Weights Max,trainer/Online Weights Mean,trainer/Online Weights Min,trainer/Online Weights Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/RL Samples Weights Max,trainer/RL Samples Weights Mean,trainer/RL Samples Weights Min,trainer/RL Samples Weights Std,trainer/Weight Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.9946192,-0.11937894,-0.9906062,0.873843,4551.416012957728,5,4648.309114646069,4551.416012957728,4453.883419819681,77.70235132509916,7.891997630009561,4.55141601295773,-2.216444413265614,1.6773156885110065,-0.4682920932769776,-0.48605666160583494,-0.5269812107086181,0.02095435435530781,5.732051108335554,4.59965599415284,4.0995644452766555,0.5946460432695279,-0.21567287445068362,-0.22425024032592775,-0.24686079025268556,0.011488151651216414,0.8169404733082708,0.607134690894868,0.40549827783019227,0.13459405699330151,-0.2011037826538086,-0.4667117894411087,-0.5733904361724854,0.05921978281967679,8.328511079832595,5.018127802398839,-1.8111848517269173,1.682421640095888,5,5000,1000,1000.0,1000,0.0,0.9995932,-0.10097339,-0.99938905,0.83499235,3868.2571053042348,1,3868.2571053042348,3868.2571053042348,3868.2571053042348,0.0,7.3702999079100096,3.8682571053042367,-1.247574185986907,1.5494246711750472,-0.4882811069488526,-0.4882811069488526,-0.4882811069488526,0.0,6.540357908645547,6.540357908645547,6.540357908645547,0.0,-0.312137508392334,-0.312137508392334,-0.312137508392334,0.0,0.505062243409574,0.505062243409574,0.505062243409574,0.0,-0.16397902965545655,-0.4244447495222092,-0.5837823867797852,0.07747546785806946,7.747348757969519,4.292701854826446,-0.9039015766576833,1.5592223481052054,1,1000,1000,1000.0,1000,0.0,1000,0.019222316972445697,336.28790347481845,17.542261523019988,3.89504760899581,0.013943594007287174,314.79113584180595,0.026038412004709244,379.1775273992098,0.00025417801225557923,1.0,9.074854850769043,19.292822,6.488879,-6.706133,3.9709578,1.0109235,1.0001055,0.98763037,0.0041383505,1.0084056,1.0001494,0.9884157,0.0035676847,223.84859,-185.69006,-217.04575,-397.81418,22.205519,-188.24939,-221.1625,-396.3683,21.87829,-188.05016,-221.22847,-397.65973,21.80285,343.28674,348.64096,1.0098559,1.0006733,0.99154735,0.0033944827,-1.929076e-05,5000,0.9928512,-0.14045559,-0.99020207,0.85186005,-0.025240147,-0.4706812,-1.2222803,0.15382378,0.9750757,0.6313356,0.29455775,0.08530304
1,0.99820524,-0.1248236,-0.99600697,0.8979997,4773.1983449658555,5,4902.796050167798,4773.1983449658555,4624.473581948019,95.4527787098487,7.921390643858627,4.773198344965854,-2.315433026259493,1.7123983704848336,-0.44138822555541996,-0.48503781318664557,-0.5513352394104004,0.04016648663613966,4.80345100240811,4.615616010653298,4.284253981958273,0.21367997048498136,-0.30884048938751224,-0.3610818338394165,-0.4019514083862305,0.03364060416448422,0.8266181490672471,0.6098790488442225,0.39374930297974425,0.17710926606740013,-0.22786269187927247,-0.49319067385196685,-0.5899102210998536,0.05427661415110589,8.422003665709212,5.26638901881782,-1.8247107991629352,1.7165788976833323,10,10000,1000,1000.0,1000,0.0,0.9998641,-0.12115169,-0.9995623,0.8811231,4556.822216309675,1,4556.822216309675,4556.822216309675,4556.822216309675,0.0,7.66654086668334,4.556822216309673,-1.5721305671504067,1.6665812594149965,-0.4979451179504395,-0.4979451179504395,-0.4979451179504395,0.0,3.548297658685442,3.548297658685442,3.548297658685442,0.0,-0.29496159553527834,-0.29496159553527834,-0.29496159553527834,0.0,0.42092467853184157,0.42092467853184157,0.42092467853184157,0.0,-0.24593489170074465,-0.47463341319561003,-0.587485408782959,0.06034600006558774,8.149748473952627,5.031455629505282,-1.0349785152247475,1.6734021758426443,2,2000,1000,1000.0,1000,0.0,2000,0.019273161015007645,84.43882859486621,16.757236758014187,3.902913684025407,0.0305269259843044,63.684087299741805,0.044375339057296515,468.16820841730805,0.00041542702820152044,0.28944501381253274,2.94803524017334,20.461449,10.951235,-0.019070625,3.935354,2.5680552,0.51519275,0.0,0.5571572,4.473261,1.1005223,0.0,0.80248636,97.70698,-72.914,-96.82617,-268.32425,16.964872,-74.97803,-96.95854,-278.77798,16.95769,-76.43041,-97.20752,-287.4362,17.017456,56.13693,56.046486,4.6140957,0.73207235,0.0,0.6378245,1.5716442,6000,0.9973554,-0.1134693,-0.9961287,0.894258,-0.31245115,-0.79499716,-2.0965493,0.26570278,0.73165137,0.46520054,0.12287973,0.09716926
2,0.9980668,-0.12551472,-0.9976787,0.90417105,4785.559350473241,5,4878.4479316946645,4785.559350473241,4707.854777964478,59.35644255341135,7.891708712202342,4.785559350473241,-2.33045349518122,1.7049156210271836,-0.4593658447265625,-0.500293655395508,-0.5463521003723145,0.0288657911416484,5.2407619189841625,5.019624924598702,4.712535477393658,0.20740642652028848,-0.3638838291168213,-0.3890344190597535,-0.41013650894165044,0.017788296119772617,0.6293468552102488,0.608652749634728,0.5772051913192927,0.02315698484368035,-0.23913753032684326,-0.49996755860805514,-0.5913163185119629,0.052955756787505845,8.38381853542927,5.2855269090812955,-1.8086429158812933,1.7058603438463387,15,15000,1000,1000.0,1000,0.0,0.99976146,-0.1145699,-0.9998032,0.88705975,4475.558408949524,1,4475.558408949524,4475.558408949524,4475.558408949524,0.0,7.685005410117765,4.475558408949519,-2.1510512635094314,1.6220354571153213,-0.45765190124511723,-0.45765190124511723,-0.45765190124511723,0.0,4.749159638059837,4.749159638059837,4.749159638059837,0.0,-0.40298914909362793,-0.40298914909362793,-0.40298914909362793,0.0,0.6502032345098896,0.6502032345098896,0.6502032345098896,0.0,-0.2481029987335205,-0.48000073950290684,-0.592282247543335,0.06706305129290753,8.251242669028898,4.9555591484524255,-1.7490954205376297,1.6276553444888342,3,3000,1000,1000.0,1000,0.0,3000,0.01966452697524801,84.9948117947788,16.858458328002598,3.942289336002432,0.019913839001674205,64.12492817279417,0.02933152497280389,557.7281433112803,0.00022606702987104654,0.2309019908498593,2.2940001487731934,22.017832,12.305967,3.1924887,4.0771966,3.5051813,0.9074191,0.0,0.5729196,3.440357,1.3246121,0.0,0.51483995,72.03996,-51.011356,-71.38424,-121.13301,10.585487,-49.98033,-71.499466,-124.79896,10.454917,-51.0032,-71.43736,-124.30532,10.535284,35.980453,36.35846,2.4182208,1.0191023,0.0,0.4909079,-0.06381378,7000,0.9979326,-0.14394279,-0.9966544,0.89545226,-0.3937018,-0.8118848,-2.2348,0.29325846,0.6745552,0.45994768,0.107013516,0.10199208
3,0.9985872,-0.111354,-0.9978085,0.91963416,4914.750323813283,5,4952.338454159616,4914.750323813283,4868.115958577236,27.856587201459163,7.9774781163336685,4.914750323813279,-2.203384692565614,1.7468032617862534,-0.5019245147705078,-0.5107005691528321,-0.5183007240295411,0.005460488779452791,5.029354621350421,4.5474515266284925,4.0883587158350565,0.3559184502820591,-0.39838638305664065,-0.40414311408996584,-0.41228618621826174,0.004502246452357775,0.6811226717760372,0.5497139589108796,0.4792526224952959,0.07401712978530156,-0.25184576511383056,-0.5148759761810303,-0.5926210403442383,0.04490759567378591,8.469578879654591,5.42962629999431,-1.6911105703274547,1.746679732658266,20,20000,1000,1000.0,1000,0.0,0.9999104,-0.1023038,-0.9996995,0.90439665,4774.289979058387,1,4774.289979058387,4774.289979058387,4774.289979058387,0.0,7.736444759394123,4.774289979058391,-1.6673864843418365,1.6745644917690206,-0.4873061180114746,-0.4873061180114746,-0.4873061180114746,0.0,4.870323671675578,4.870323671675578,4.870323671675578,0.0,-0.34453415870666504,-0.34453415870666504,-0.34453415870666504,0.0,0.4102006089669017,0.4102006089669017,0.4102006089669017,0.0,-0.26012649536132815,-0.4970396167039871,-0.5880862236022949,0.05550046172243913,8.229076337839558,5.271329595762378,-1.1269727232029205,1.6794714192813658,4,4000,1000,1000.0,1000,0.0,4000,0.01934335404075682,83.61082681233529,16.811880710010882,3.9334364969981834,0.01668856799369678,62.79965669423109,0.029495529015548527,645.8124002002296,0.00032546004513278604,0.1844482104251641,1.8335366249084473,22.00822,13.181101,-3.3447027,4.197922,2.8972409,0.8646272,0.0,0.5608923,3.0403838,1.24866,0.0,0.47716224,44.419796,-22.232243,-43.914757,-118.8555,12.677176,-22.566198,-43.967873,-119.39472,12.919738,-22.151333,-43.853374,-122.470566,12.909194,40.2721,42.54107,2.3632112,1.1295353,0.0,0.44760826,-0.07350102,8000,0.99855614,-0.086122304,-0.99730897,0.91396314,-0.44261923,-0.84044665,-2.1979358,0.30097514,0.64235175,0.44813728,0.111032106,0.10463942
4,0.9990001,-0.11139558,-0.99878305,0.9215242,4927.116149672283,5,5038.791817706036,4927.116149672283,4858.430868687626,64.51661908943619,8.020249625905034,4.927116149672282,-2.2178802977191885,1.7408204247157626,-0.505786657333374,-0.5206572818756104,-0.5352001190185547,0.011643829884034396,5.278663576123108,4.892514758324978,4.630820768658168,0.23164317872803228,-0.39837825298309326,-0.4109701776504517,-0.4164330005645752,0.006693219405522244,0.6626906773367458,0.5302464598173869,0.39957981229969924,0.09266848924834264,-0.22663748264312744,-0.5169695531988144,-0.595600938796997,0.04664133380457305,8.512770005925177,5.444085702871098,-1.6909884939777335,1.7377972961539072,25,25000,1000,1000.0,1000,0.0,0.99989426,-0.10627248,-0.9997187,0.90525794,4638.174149593315,1,4638.174149593315,4638.174149593315,4638.174149593315,0.0,8.003927665691474,4.638174149593315,-1.9278887316448252,1.6741657974815214,-0.5273149967193603,-0.5273149967193603,-0.5273149967193603,0.0,4.820540636928854,4.820540636928854,4.820540636928854,0.0,-0.410356092453003,-0.410356092453003,-0.410356092453003,0.0,0.8213699509881214,0.8213699509881214,0.8213699509881214,0.0,-0.29376304149627686,-0.4984714298248291,-0.5939913272857666,0.05791425767418023,8.498386627178292,5.136645579418144,-1.4445280119640391,1.673938895397334,5,5000,1000,1000.0,1000,0.0,5000,0.019317672005854547,83.40839515434345,16.865884236991405,3.898861376044806,0.01776616199640557,62.581092549313325,0.02525285299634561,733.6823036799324,0.0002203049953095615,0.14741017790815558,1.392101764678955,25.695765,14.074394,2.3970213,4.213503,3.4091516,0.90333414,0.0,0.61887026,2.573297,1.3344785,0.0,0.48698494,21.623081,1.3911204,-21.801188,-101.83331,14.226489,1.0484588,-21.28921,-104.363434,13.862139,2.0413942,-20.998793,-100.33873,13.851205,46.563225,44.96743,3.338731,1.1440275,0.0,0.518186,-0.09068039,9000,0.9987179,-0.1153571,-0.99725604,0.9156684,-0.31647518,-0.82608193,-2.3733127,0.34048054,0.7287131,0.458407,0.09317156,0.11347836
5,0.9991733,-0.113367856,-0.99858356,0.92490804,4871.174135655094,5,4935.2948297984,4871.174135655094,4823.0172748226705,47.83914759469974,7.9270088440839235,4.871174135655093,-2.0900428376236655,1.723071643409686,-0.48134946823120117,-0.5259105014801027,-0.5582619667053222,0.02568771215843529,5.2090091902584845,4.828705747361482,4.320961966931236,0.33431474452107984,-0.3854583740234375,-0.41754137992858886,-0.43820004463195805,0.01857400924795713,0.648890403425156,0.516569217022443,0.43168379929898193,0.07780806178192363,-0.23042042255401612,-0.5209843199920655,-0.5937283515930176,0.04373960687757893,8.422012878126282,5.3921584556471585,-1.5744041047135093,1.7171594973055968,30,30000,1000,1000.0,1000,0.0,0.9998237,-0.11187783,-0.999793,0.913819,4688.165868582122,1,4688.165868582122,4688.165868582122,4688.165868582122,0.0,7.704495046943839,4.688165868582126,-1.9178500741978775,1.70369494503941,-0.5316715240478516,-0.5316715240478516,-0.5316715240478516,0.0,4.471154901561931,4.471154901561931,4.471154901561931,0.0,-0.3607015132904053,-0.3607015132904053,-0.3607015132904053,0.0,0.41919086583387,0.41919086583387,0.41919086583387,0.0,-0.25533740520477294,-0.5085491123676301,-0.5965075016021729,0.05058563731190076,8.217897413582023,5.196714980949757,-1.4513540357609878,1.7032083058307543,6,6000,1000,1000.0,1000,0.0,6000,0.019284130015876144,83.7128268792294,16.70464334002463,3.856170465995092,0.02908964001107961,63.06606292014476,0.03719576500589028,821.804981796362,0.00038061803206801414,0.1178485881090139,1.1524755954742432,23.742567,14.807547,1.527997,3.8656871,7.14542,2.073617,0.0,1.6919461,7.6315403,2.487499,0.34012413,1.4265441,-3.479943,22.738548,3.5505395,-95.90335,14.962242,24.151388,3.7507071,-90.4471,14.74752,24.579582,3.7184556,-90.02786,14.672825,34.34819,34.733467,8.153577,2.4293566,0.29572994,1.5216143,0.018561848,10000,0.9991085,-0.12894651,-0.9979788,0.9155861,-0.36395296,-0.8314259,-2.8021429,0.34283078,0.6949239,0.45612326,0.060679898,0.11261645
6,0.99933064,-0.104517855,-0.998596,0.9391218,4854.401373968074,5,4932.93814650035,4854.401373968074,4778.96552737858,63.1152419590996,7.851660869747957,4.8544013739680745,-2.1445264004977327,1.7337351681006299,-0.49649939537048343,-0.5339037132263184,-0.5616747856140137,0.024259809878327786,4.639244454265281,4.007878939288275,3.5888747988587966,0.3483178129907622,-0.4003952026367188,-0.42479766845703126,-0.4366472244262696,0.014226785028927462,0.7211393866320223,0.6204367962827403,0.5377168396955084,0.06398654594026164,-0.21587922573089602,-0.5357242665481569,-0.5948199748992921,0.04171170977474147,8.37609933954301,5.390125640516231,-1.5999533318789583,1.723577020751497,35,35000,1000,1000.0,1000,0.0,0.9999533,-0.10857492,-0.9998054,0.9229542,4805.243370055328,1,4805.243370055328,4805.243370055328,4805.243370055328,0.0,7.958270027544768,4.8052433700553205,-2.3058601507960548,1.7345696544787002,-0.3254239559173584,-0.3254239559173584,-0.3254239559173584,0.0,3.387380173227257,3.387380173227257,3.387380173227257,0.0,-0.4446767807006836,-0.4446767807006836,-0.4446767807006836,0.0,0.6234330568761562,0.6234330568761562,0.6234330568761562,0.0,-0.2627412796020508,-0.5181797836065293,-0.5952102184295655,0.05298523616206107,8.459146501925261,5.323423153661849,-1.7553995261012307,1.7308697167339715,7,7000,1000,1000.0,1000,0.0,7000,0.019564306014217436,82.22218909300864,16.661837653024122,3.8715227270149626,0.018899386981502175,61.62249739700928,0.027583525981754065,908.4270751842414,0.00028409698279574513,0.09422689384274345,0.9324464797973633,25.248089,16.058657,2.0606813,3.842571,2.4389663,0.91592914,0.0,0.61631286,3.0664668,1.4544263,0.08526504,0.53258574,-28.822975,49.024033,28.599936,-62.316967,15.916213,50.408257,29.259136,-59.44668,15.887605,50.25242,29.395905,-60.52198,15.683444,45.88389,46.424644,2.9713173,1.4105515,0.0,0.6269847,-0.20194015,11000,0.9991171,-0.0798826,-0.997701,0.9267846,-0.31960183,-0.8472491,-2.7024965,0.383547,0.7264382,0.45389095,0.06703795,0.12301475
7,0.9996332,-0.105228394,-0.9993708,0.9361598,4831.568986700499,5,4929.158983296202,4831.568986700499,4671.389745208029,95.66951724130404,8.026641199729692,4.831568986700497,-2.1469337933898256,1.7121673432962945,-0.45336465835571294,-0.5265671730041503,-0.5487008094787598,0.0367835014065829,5.0400961963475766,4.504143740310155,3.7005276689558286,0.5313575472430642,-0.39679808616638185,-0.43290315628051756,-0.44887719154357913,0.018595042526862043,0.7065726003944574,0.625264047412417,0.5275238355691766,0.05724468335142418,-0.25613787174224856,-0.5324809270191194,-0.5954550743103028,0.04986001682902344,8.519806502006304,5.364049913719617,-1.640235471093683,1.7058304696511395,40,40000,1000,1000.0,1000,0.0,0.99995804,-0.11548985,-0.9998403,0.920725,4658.220409035088,1,4658.220409035088,4658.220409035088,4658.220409035088,0.0,7.859862027195925,4.658220409035082,-1.7431408859720383,1.6942242703538766,-0.5571075916290283,-0.5571075916290283,-0.5571075916290283,0.0,4.2356645210588795,4.2356645210588795,4.2356645210588795,0.0,-0.3709026336669922,-0.3709026336669922,-0.3709026336669922,0.0,0.706632784361852,0.706632784361852,0.706632784361852,0.0,-0.28680732250213625,-0.516643452000618,-0.5943204879760743,0.058016480487404834,8.374824318913454,5.174863861035701,-1.2011838413705977,1.6917393421614533,8,8000,1000,1000.0,1000,0.0,8000,0.019607218040619045,83.44962376146577,16.766765178006608,3.862982253951486,0.015462565002962947,62.75819845148362,0.02636667899787426,996.321391527541,0.0002414159826003015,0.07535755825771871,0.7641783952713013,27.51911,16.86146,5.2393703,4.1351366,5.340538,1.3089843,0.0,0.69381934,3.6703122,1.7618608,0.11213434,0.5689412,-48.944946,72.225266,48.773846,-220.02773,20.785997,73.83348,49.482273,-227.2882,20.797157,71.61773,49.35994,-229.20833,20.822815,42.205482,38.970768,4.0299797,1.6800251,0.0,0.53666633,-0.105758876,12000,0.9993095,-0.16067423,-0.9985969,0.9232055,0.40373746,-0.8501726,-2.8170831,0.40251735,1.4974108,0.4546169,0.059780065,0.12776585
8,0.99967825,-0.10918278,-0.9991315,0.9423015,4838.090142672218,5,4909.632309638253,4838.090142672218,4789.677992731299,41.237108748634206,8.039232527207172,4.838090142672218,-2.3243387845296533,1.7084130387822933,-0.4718993186950684,-0.5461337566375734,-0.5688088417053223,0.037231777292756535,4.805427193269907,4.553822528380806,4.2357609624014,0.2146575928609736,-0.41190309524536134,-0.42567073822021484,-0.44123401641845705,0.011483924047250283,0.6053049932038125,0.5070926018344045,0.3711104060189485,0.08893775042723207,-0.24911670684814455,-0.5399118346071243,-0.5970211505889893,0.0481340109882876,8.541364752243794,5.378001977279342,-1.753148236586538,1.7003184013296622,45,45000,1000,1000.0,1000,0.0,0.9999623,-0.120425835,-0.9999474,0.9299637,4713.2764192223985,1,4713.2764192223985,4713.2764192223985,4713.2764192223985,0.0,7.759147718924555,4.713276419222396,-1.6346542855809587,1.712854549286665,-0.545570182800293,-0.545570182800293,-0.545570182800293,0.0,4.758387691713324,4.758387691713324,4.758387691713324,0.0,-0.42473554611206055,-0.42473554611206055,-0.42473554611206055,0.0,0.2803510793061092,0.2803510793061092,0.2803510793061092,0.0,-0.26448993682861327,-0.5276009372472763,-0.5963577747344971,0.05457347757349741,8.306212452429804,5.240877356469672,-1.1579947492192644,1.7106303208065847,9,9000,1000,1000.0,1000,0.0,9000,0.019320502993650734,83.11023328383453,16.781048570002895,3.8597883229958825,0.022577441995963454,62.39429760084022,0.03279856400331482,1083.81079158379,0.00040228100260719657,0.06026704480220542,0.6113893389701843,28.108585,18.482506,7.710748,3.9946468,3.6441507,1.1822236,0.0,0.83024937,3.822225,1.8334839,0.16862601,0.73084503,-72.43378,94.364105,72.04033,-22.416533,15.925932,95.42492,72.91079,-21.105268,15.8121,95.31477,72.906494,-32.772877,15.999407,44.09047,42.849365,3.3516006,1.7466377,0.0,0.7388634,-0.17867225,13000,0.99978656,-0.12410637,-0.9991756,0.93088424,-0.05619596,-0.85895485,-3.4580438,0.44410762,0.94535387,0.45518044,0.031491302,0.13188139
9,0.99966985,-0.11070495,-0.9995619,0.9440486,4866.506917599011,5,4886.262150504786,4866.506917599011,4855.658775410774,10.867099150082748,7.925054866787787,4.866506917599009,-2.2642065701119396,1.7303486558048071,-0.4544435501098633,-0.5162417221069336,-0.5684024333953858,0.04413256840055744,5.2651187858919,4.494275949576604,3.5691807625460115,0.5752755990127486,-0.44306406974792484,-0.45564048767089843,-0.469667387008667,0.01190042661580574,0.5924760224791057,0.51571306448353,0.4477816123609457,0.057598139591877026,-0.2661818027496338,-0.5420900433111191,-0.5972127437591553,0.047175971946684915,8.435781127926703,5.408596960910128,-1.7089955029122323,1.7194430822561315,50,50000,1000,1000.0,1000,0.0,0.999944,-0.11503345,-0.9999523,0.9328975,4740.09662531079,1,4740.09662531079,4740.09662531079,4740.09662531079,0.0,7.6391290616549785,4.740096625310783,-2.014708092102359,1.6953670111544983,-0.5400041103363037,-0.5400041103363037,-0.5400041103363037,0.0,4.324935460816732,4.324935460816732,4.324935460816732,0.0,-0.4643580436706543,-0.4643580436706543,-0.4643580436706543,0.0,0.75722522185593,0.75722522185593,0.75722522185593,0.0,-0.2910464286804199,-0.5301182646274567,-0.5973734378814698,0.05484674933733446,8.14439916129487,5.270214889938239,-1.4458926700442531,1.6866673491454969,10,10000,1000,1000.0,1000,0.0,10000,0.020423979964107275,86.36874072084902,17.526925212994684,3.9638335519703105,0.020152116019744426,64.80719846591819,0.029885764990467578,1174.8364701539977,0.00032162899151444435,0.048184280102254486,0.47519752383232117,30.249323,19.536802,8.070551,4.322007,3.359435,0.9941045,0.0,0.7407291,3.4836226,1.5581369,0.0,0.6696958,-95.116264,113.82917,94.607124,28.342848,12.352565,114.542816,95.55828,29.282358,12.524762,115.7976,95.531944,30.51251,12.530312,36.65307,34.222015,3.8647285,1.653895,0.105448484,0.64806473,-0.10663964,14000,0.9994765,-0.1199915,-0.99905777,0.9327577,-0.34656215,-0.90264225,-3.0381343,0.41106647,0.7071149,0.43243456,0.04792422,0.12243397
